station_name,date,time,count,average_temperature
Forus Vest,2019-01-02,04:00:00-05:00:00,2,1.0
Forus Vest,2019-01-02,05:00:00-06:00:00,10,1.0
Forus Vest,2019-01-02,06:00:00-07:00:00,70,0.0
Forus Vest,2019-01-02,07:00:00-08:00:00,152,0.0
Forus Vest,2019-01-02,08:00:00-09:00:00,80,0.0
Forus Vest,2019-01-02,09:00:00-10:00:00,13,0.0
Forus Vest,2019-01-02,10:00:00-11:00:00,7,1.0
Forus Vest,2019-01-02,11:00:00-12:00:00,14,2.0
Forus Vest,2019-01-02,12:00:00-13:00:00,20,2.0
Forus Vest,2019-01-02,13:00:00-14:00:00,11,2.0
Forus Vest,2019-01-02,14:00:00-15:00:00,29,2.0
Forus Vest,2019-01-02,15:00:00-16:00:00,107,1.0
Forus Vest,2019-01-02,16:00:00-17:00:00,143,0.0
Forus Vest,2019-01-02,17:00:00-18:00:00,42,0.0
Forus Vest,2019-01-02,18:00:00-19:00:00,37,0.0
Forus Vest,2019-01-02,19:00:00-20:00:00,12,0.0
Forus Vest,2019-01-02,20:00:00-21:00:00,7,-1.0
Forus Vest,2019-01-02,22:00:00-23:00:00,3,0.0
Forus Vest,2019-01-03,00:00:00-01:00:00,1,-1.0
Forus Vest,2019-01-03,02:00:00-03:00:00,4,-1.0
Forus Vest,2019-01-03,04:00:00-05:00:00,1,-2.0
Forus Vest,2019-01-03,05:00:00-06:00:00,11,-3.0
Forus Vest,2019-01-03,06:00:00-07:00:00,77,-3.0
Forus Vest,2019-01-03,07:00:00-08:00:00,163,-3.0
Forus Vest,2019-01-03,08:00:00-09:00:00,115,-3.0
Forus Vest,2019-01-03,09:00:00-10:00:00,14,-3.0
Forus Vest,2019-01-03,10:00:00-11:00:00,8,-3.0
Forus Vest,2019-01-03,11:00:00-12:00:00,10,-1.0
Forus Vest,2019-01-03,12:00:00-13:00:00,16,0.0
Forus Vest,2019-01-03,13:00:00-14:00:00,10,0.0
Forus Vest,2019-01-03,14:00:00-15:00:00,38,1.0
Forus Vest,2019-01-03,15:00:00-16:00:00,122,1.0
Forus Vest,2019-01-03,16:00:00-17:00:00,137,1.0
Forus Vest,2019-01-03,17:00:00-18:00:00,63,0.0
Forus Vest,2019-01-03,18:00:00-19:00:00,22,0.0
Forus Vest,2019-01-03,19:00:00-20:00:00,8,0.0
Forus Vest,2019-01-03,20:00:00-21:00:00,7,0.0
Forus Vest,2019-01-03,22:00:00-23:00:00,2,2.0
Forus Vest,2019-01-03,23:00:00-00:00:00,1,0.0
Forus Vest,2019-01-04,00:00:00-01:00:00,2,1.5
Forus Vest,2019-01-04,01:00:00-02:00:00,3,2.0
Forus Vest,2019-01-04,02:00:00-03:00:00,2,2.0
Forus Vest,2019-01-04,04:00:00-05:00:00,1,2.0
Forus Vest,2019-01-04,05:00:00-06:00:00,7,2.0
Forus Vest,2019-01-04,06:00:00-07:00:00,84,2.0
Forus Vest,2019-01-04,07:00:00-08:00:00,149,3.0
Forus Vest,2019-01-04,08:00:00-09:00:00,96,5.0
Forus Vest,2019-01-04,09:00:00-10:00:00,9,2.5
Forus Vest,2019-01-04,10:00:00-11:00:00,10,5.0
Forus Vest,2019-01-04,11:00:00-12:00:00,11,6.0
Forus Vest,2019-01-04,12:00:00-13:00:00,11,6.0
Forus Vest,2019-01-04,13:00:00-14:00:00,14,6.0
Forus Vest,2019-01-04,14:00:00-15:00:00,26,6.0
Forus Vest,2019-01-04,15:00:00-16:00:00,114,6.0
Forus Vest,2019-01-04,16:00:00-17:00:00,125,6.0
Forus Vest,2019-01-04,17:00:00-18:00:00,47,6.0
Forus Vest,2019-01-04,18:00:00-19:00:00,15,6.0
Forus Vest,2019-01-04,19:00:00-20:00:00,2,6.0
Forus Vest,2019-01-04,20:00:00-21:00:00,4,7.0
Forus Vest,2019-01-04,23:00:00-00:00:00,2,7.0
Forus Vest,2019-01-05,00:00:00-01:00:00,1,7.0
Forus Vest,2019-01-05,01:00:00-02:00:00,1,7.0
Forus Vest,2019-01-05,06:00:00-07:00:00,1,7.0
Forus Vest,2019-01-05,07:00:00-08:00:00,3,7.0
Forus Vest,2019-01-05,08:00:00-09:00:00,3,7.0
Forus Vest,2019-01-05,09:00:00-10:00:00,17,7.0
Forus Vest,2019-01-05,10:00:00-11:00:00,7,7.0
Forus Vest,2019-01-05,11:00:00-12:00:00,15,7.0
Forus Vest,2019-01-05,12:00:00-13:00:00,28,7.0
Forus Vest,2019-01-05,13:00:00-14:00:00,13,7.0
Forus Vest,2019-01-05,14:00:00-15:00:00,17,7.0
Forus Vest,2019-01-05,15:00:00-16:00:00,12,7.0
Forus Vest,2019-01-05,16:00:00-17:00:00,8,6.0
Forus Vest,2019-01-05,17:00:00-18:00:00,17,6.0
Forus Vest,2019-01-05,18:00:00-19:00:00,4,6.0
Forus Vest,2019-01-05,19:00:00-20:00:00,4,6.0
Forus Vest,2019-01-05,20:00:00-21:00:00,3,6.0
Forus Vest,2019-01-05,21:00:00-22:00:00,4,6.0
Forus Vest,2019-01-05,23:00:00-00:00:00,3,6.0
Forus Vest,2019-01-06,00:00:00-01:00:00,3,6.0
Forus Vest,2019-01-06,01:00:00-02:00:00,5,6.0
Forus Vest,2019-01-06,02:00:00-03:00:00,1,6.0
Forus Vest,2019-01-06,03:00:00-04:00:00,1,6.0
Forus Vest,2019-01-06,06:00:00-07:00:00,1,5.0
Forus Vest,2019-01-06,07:00:00-08:00:00,2,5.0
Forus Vest,2019-01-06,08:00:00-09:00:00,4,4.5
Forus Vest,2019-01-06,09:00:00-10:00:00,17,3.0
Forus Vest,2019-01-06,10:00:00-11:00:00,10,4.0
Forus Vest,2019-01-06,11:00:00-12:00:00,24,6.0
Forus Vest,2019-01-06,12:00:00-13:00:00,24,6.0
Forus Vest,2019-01-06,13:00:00-14:00:00,26,6.0
Forus Vest,2019-01-06,14:00:00-15:00:00,23,6.0
Forus Vest,2019-01-06,15:00:00-16:00:00,16,6.0
Forus Vest,2019-01-06,16:00:00-17:00:00,11,6.0
Forus Vest,2019-01-06,17:00:00-18:00:00,18,6.0
Forus Vest,2019-01-06,18:00:00-19:00:00,5,5.0
Forus Vest,2019-01-06,19:00:00-20:00:00,3,5.0
Forus Vest,2019-01-06,20:00:00-21:00:00,3,3.5
Forus Vest,2019-01-07,00:00:00-01:00:00,3,2.0
Forus Vest,2019-01-07,01:00:00-02:00:00,1,1.0
Forus Vest,2019-01-07,03:00:00-04:00:00,1,0.0
Forus Vest,2019-01-07,04:00:00-05:00:00,2,-1.0
Forus Vest,2019-01-07,05:00:00-06:00:00,11,-1.0
Forus Vest,2019-01-07,06:00:00-07:00:00,93,-1.0
Forus Vest,2019-01-07,07:00:00-08:00:00,172,0.0
Forus Vest,2019-01-07,08:00:00-09:00:00,94,0.0
Forus Vest,2019-01-07,09:00:00-10:00:00,10,0.0
Forus Vest,2019-01-07,10:00:00-11:00:00,11,1.0
Forus Vest,2019-01-07,11:00:00-12:00:00,12,2.0
Forus Vest,2019-01-07,12:00:00-13:00:00,13,2.5
Forus Vest,2019-01-07,13:00:00-14:00:00,8,3.0
Forus Vest,2019-01-07,14:00:00-15:00:00,31,4.0
Forus Vest,2019-01-07,15:00:00-16:00:00,131,6.0
Forus Vest,2019-01-07,16:00:00-17:00:00,138,5.0
Forus Vest,2019-01-07,17:00:00-18:00:00,55,5.0
Forus Vest,2019-01-08,06:00:00-07:00:00,82,4.0
Forus Vest,2019-01-08,07:00:00-08:00:00,167,3.0
Forus Vest,2019-01-08,08:00:00-09:00:00,94,3.0
Forus Vest,2019-01-08,09:00:00-10:00:00,16,3.0
Forus Vest,2019-01-08,10:00:00-11:00:00,2,3.0
Forus Vest,2019-01-08,11:00:00-12:00:00,12,4.0
Forus Vest,2019-01-08,12:00:00-13:00:00,16,4.0
Forus Vest,2019-01-08,13:00:00-14:00:00,19,4.0
Forus Vest,2019-01-08,14:00:00-15:00:00,22,4.0
Forus Vest,2019-01-08,15:00:00-16:00:00,112,3.0
Forus Vest,2019-01-08,16:00:00-17:00:00,150,3.0
Forus Vest,2019-01-08,17:00:00-18:00:00,59,2.0
Forus Vest,2019-01-08,18:00:00-19:00:00,32,2.5
Forus Vest,2019-01-08,19:00:00-20:00:00,16,2.0
Forus Vest,2019-01-08,20:00:00-21:00:00,5,2.0
Forus Vest,2019-01-08,21:00:00-22:00:00,2,2.0
Forus Vest,2019-01-08,23:00:00-00:00:00,1,1.0
Forus Vest,2019-01-09,00:00:00-01:00:00,3,1.0
Forus Vest,2019-01-09,04:00:00-05:00:00,3,0.0
Forus Vest,2019-01-09,05:00:00-06:00:00,13,0.0
Forus Vest,2019-01-09,06:00:00-07:00:00,83,0.0
Forus Vest,2019-01-09,07:00:00-08:00:00,180,0.0
Forus Vest,2019-01-09,08:00:00-09:00:00,118,0.0
Forus Vest,2019-01-09,09:00:00-10:00:00,20,-2.0
Forus Vest,2019-01-09,10:00:00-11:00:00,14,0.0
Forus Vest,2019-01-09,11:00:00-12:00:00,12,1.5
Forus Vest,2019-01-09,12:00:00-13:00:00,28,1.0
Forus Vest,2019-01-09,13:00:00-14:00:00,28,1.0
Forus Vest,2019-01-09,14:00:00-15:00:00,39,2.0
Forus Vest,2019-01-09,15:00:00-16:00:00,129,0.0
Forus Vest,2019-01-09,16:00:00-17:00:00,139,-1.0
Forus Vest,2019-01-09,17:00:00-18:00:00,67,-2.0
Forus Vest,2019-01-09,18:00:00-19:00:00,47,-1.0
Forus Vest,2019-01-09,19:00:00-20:00:00,15,-1.0
Forus Vest,2019-01-09,20:00:00-21:00:00,12,0.0
Forus Vest,2019-01-09,21:00:00-22:00:00,6,0.0
Forus Vest,2019-01-09,22:00:00-23:00:00,1,0.0
Forus Vest,2019-01-10,00:00:00-01:00:00,1,0.0
Forus Vest,2019-01-10,04:00:00-05:00:00,2,0.0
Forus Vest,2019-01-10,05:00:00-06:00:00,10,0.0
Forus Vest,2019-01-10,06:00:00-07:00:00,88,0.0
Forus Vest,2019-01-10,07:00:00-08:00:00,161,0.0
Forus Vest,2019-01-10,08:00:00-09:00:00,117,1.0
Forus Vest,2019-01-10,09:00:00-10:00:00,35,1.0
Forus Vest,2019-01-10,10:00:00-11:00:00,25,1.5
Forus Vest,2019-01-10,11:00:00-12:00:00,13,2.0
Forus Vest,2019-01-10,12:00:00-13:00:00,28,3.0
Forus Vest,2019-01-10,13:00:00-14:00:00,10,3.0
Forus Vest,2019-01-10,14:00:00-15:00:00,28,3.0
Forus Vest,2019-01-10,15:00:00-16:00:00,119,3.0
Forus Vest,2019-01-10,16:00:00-17:00:00,134,3.0
Forus Vest,2019-01-10,17:00:00-18:00:00,55,3.0
Forus Vest,2019-01-10,18:00:00-19:00:00,28,3.0
Forus Vest,2019-01-10,19:00:00-20:00:00,16,3.0
Forus Vest,2019-01-10,20:00:00-21:00:00,7,3.5
Forus Vest,2019-01-10,21:00:00-22:00:00,4,5.0
Forus Vest,2019-01-10,22:00:00-23:00:00,2,6.0
Forus Vest,2019-01-11,00:00:00-01:00:00,1,6.0
Forus Vest,2019-01-11,01:00:00-02:00:00,1,6.0
Forus Vest,2019-01-11,04:00:00-05:00:00,2,6.0
Forus Vest,2019-01-11,05:00:00-06:00:00,7,5.0
Forus Vest,2019-01-11,06:00:00-07:00:00,80,5.0
Forus Vest,2019-01-11,07:00:00-08:00:00,164,4.0
Forus Vest,2019-01-11,08:00:00-09:00:00,108,4.0
Forus Vest,2019-01-11,09:00:00-10:00:00,22,3.0
Forus Vest,2019-01-11,10:00:00-11:00:00,14,3.0
Forus Vest,2019-01-11,11:00:00-12:00:00,25,3.0
Forus Vest,2019-01-11,12:00:00-13:00:00,26,4.0
Forus Vest,2019-01-11,13:00:00-14:00:00,15,4.0
Forus Vest,2019-01-11,14:00:00-15:00:00,25,4.0
Forus Vest,2019-01-11,15:00:00-16:00:00,120,4.0
Forus Vest,2019-01-11,16:00:00-17:00:00,127,3.0
Forus Vest,2019-01-11,17:00:00-18:00:00,34,3.0
Forus Vest,2019-01-11,18:00:00-19:00:00,10,3.0
Forus Vest,2019-01-11,19:00:00-20:00:00,4,3.0
Forus Vest,2019-01-11,20:00:00-21:00:00,2,2.0
Forus Vest,2019-01-11,21:00:00-22:00:00,2,1.0
Forus Vest,2019-01-12,00:00:00-01:00:00,1,-2.0
Forus Vest,2019-01-12,01:00:00-02:00:00,1,-2.0
Forus Vest,2019-01-12,04:00:00-05:00:00,1,0.0
Forus Vest,2019-01-12,05:00:00-06:00:00,1,0.0
Forus Vest,2019-01-12,06:00:00-07:00:00,1,1.0
Forus Vest,2019-01-12,08:00:00-09:00:00,1,2.0
Forus Vest,2019-01-12,09:00:00-10:00:00,6,3.0
Forus Vest,2019-01-12,10:00:00-11:00:00,5,3.0
Forus Vest,2019-01-12,11:00:00-12:00:00,6,4.0
Forus Vest,2019-01-12,12:00:00-13:00:00,10,5.0
Forus Vest,2019-01-12,13:00:00-14:00:00,16,6.0
Forus Vest,2019-01-12,14:00:00-15:00:00,13,5.0
Forus Vest,2019-01-12,15:00:00-16:00:00,7,4.0
Forus Vest,2019-01-12,16:00:00-17:00:00,8,4.0
Forus Vest,2019-01-12,17:00:00-18:00:00,7,5.0
Forus Vest,2019-01-12,18:00:00-19:00:00,4,5.0
Forus Vest,2019-01-12,19:00:00-20:00:00,2,5.0
Forus Vest,2019-01-12,20:00:00-21:00:00,1,5.0
Forus Vest,2019-01-12,23:00:00-00:00:00,2,5.0
Forus Vest,2019-01-13,00:00:00-01:00:00,1,5.0
Forus Vest,2019-01-13,01:00:00-02:00:00,4,5.0
Forus Vest,2019-01-13,02:00:00-03:00:00,1,5.0
Forus Vest,2019-01-13,03:00:00-04:00:00,1,5.0
Forus Vest,2019-01-13,05:00:00-06:00:00,1,5.0
Forus Vest,2019-01-13,08:00:00-09:00:00,2,6.0
