name,sex,event,age,bodyweightkg,weightclasskg,best3squatkg,best3benchkg,best3deadliftkg,totalkg,date
Dina Lorentzen,F,SBD,17.5,69.22,72,132.5,77.5,167.5,377.5,2017-09-02
Sara Svanes,F,SBD,21.5,81.92,84,150.0,95.0,140.0,385.0,2017-09-02
Kristoffer Alnes Reite,M,SBD,22.5,102.53,105,235.0,180.0,220.0,635.0,2017-09-02
Christoffer Nygård,M,SBD,21.5,117.62,120,215.0,132.5,245.0,592.5,2017-09-02
Selma Karoline Matilde Ramberg,F,SBD,17.5,51.84,52,125.0,90.0,140.5,355.5,2019-09-13
Juliane Slettnes,F,SBD,18.0,62.28,63,140.0,77.5,152.5,370.0,2019-09-13
Yasmina Juliette Havnen,F,SBD,16.0,66.14,72,125.0,67.5,150.0,342.5,2019-09-13
Sofie Horne,F,SBD,17.5,79.04,84,150.0,85.0,180.0,415.0,2019-09-13
Irina Melkild,F,SBD,21.5,50.55,52,110.0,77.5,122.5,310.0,2019-09-13
Camilla Vik Nygård,F,SBD,19.5,51.42,52,110.0,70.0,122.5,302.5,2019-09-13
Mia Margrethe Ramberg Storstad,F,SBD,19.5,54.06,57,117.5,82.5,125.0,325.0,2019-09-13
Daniel Andersen Nilsen,M,SBD,17.5,52.73,53,150.0,90.0,167.5,407.5,2019-09-13
Lars Engø-Monsen,M,SBD,16.5,72.91,74,205.0,152.5,235.0,592.5,2019-09-13
Simen Johnson Myrvold,M,SBD,19.0,73.54,74,210.0,165.0,237.5,612.5,2019-09-13
Johannes Kristensen,M,SBD,21.5,82.47,83,245.0,155.0,275.0,675.0,2019-09-13
Thomas Lillejord,M,SBD,20.5,82.63,83,190.0,160.0,250.0,600.0,2019-09-13
Joel Immanuel Vikesland,M,SBD,21.5,92.49,93,237.5,157.5,322.5,717.5,2019-09-13
Jacob Florelius,M,SBD,20.5,92.98,93,242.5,177.5,262.5,682.5,2019-09-13
Damian Steinke,M,SBD,21.5,104.21,105,267.5,165.0,310.0,742.5,2019-09-13
Espen Kolltveit,M,SBD,22.5,102.99,105,220.0,165.0,295.0,680.0,2019-09-13
Helge Hansen,M,SBD,36.5,90.6,93,230.0,145.0,270.0,645.0,2016-12-17
Ingvild Hansen,F,SBD,21.0,62.4,63,92.5,70.0,122.5,285.0,2015-05-27
Carl Yngvar Christensen,M,SBD,28.5,117.4,120,180.0,177.5,220.0,577.5,2019-08-24
Georg Øksendal,M,SBD,45.5,125.9,120+,240.0,180.0,250.0,670.0,2019-08-24
Finn Bjerk,M,SBD,65.0,93.6,105,140.0,115.0,160.0,415.0,2014-08-23
Maria Letnes,F,SBD,22.5,70.7,72,140.0,100.5,170.0,410.5,2014-09-27
Kristina Grimstad Nordstrand,F,SBD,35.5,80.4,84,95.0,55.0,125.0,275.0,2014-09-27
Gro-Berit Stavheim,F,SBD,49.5,71.4,72,113.0,66.0,143.0,322.0,2014-09-27
Erik Røen,M,SBD,17.5,120.6,120+,207.5,147.5,262.5,617.5,2014-09-27
Ralf A. Male,M,SBD,20.0,88.1,93,172.5,160.0,185.0,517.5,2014-09-27
Jan-Erik Christiansen,M,SBD,47.0,64.2,66,120.0,110.0,135.0,365.0,2015-09-23
Lars Dalby Markussen,M,SBD,40.5,113.0,120,270.0,170.0,287.5,727.5,2015-09-23
Ingeborg Gjone,F,SBD,57.5,55.6,57,90.0,50.0,120.0,260.0,2019-06-15
Kristine Andersen,F,SBD,21.5,81.0,84,115.0,77.5,150.0,342.5,2012-12-15
Truls Moe,M,SBD,23.5,96.2,105,190.0,160.0,230.0,580.0,2012-12-15
Sunniva Nordskog,F,SBD,25.5,61.6,63,80.0,55.0,95.0,230.0,2012-04-13
Linn Hèlen Solbakken Fjeld,F,SBD,24.5,62.2,63,110.0,80.0,135.0,325.0,2017-06-17
Sven Jøran Haugen,M,SBD,50.5,112.1,120,150.0,150.0,170.0,470.0,2012-06-06
Elisabeth Sletten,F,SBD,21.5,56.4,57,75.0,70.0,130.0,275.0,2017-02-10
Jøran Langset,M,SBD,44.5,77.74,83,223.0,127.5,240.0,590.5,2022-08-27
Oddbjørn Viken,M,SBD,60.5,99.85,105,170.0,120.0,200.0,490.0,2022-08-27
Ingeborg Gjone,F,SBD,59.5,54.14,57,82.5,55.0,117.5,255.0,2021-07-10
Terje Myrvold,M,SBD,53.5,73.59,74,135.0,105.0,170.0,410.0,2021-07-10
Heidi Ottesen Solberg,F,SBD,43.5,56.2,57,95.0,60.0,125.0,280.0,2018-09-08
Isabell Adolfsen,F,SBD,16.5,64.05,72,122.5,67.5,150.0,340.0,2016-12-17
Linn Hèlen Solbakken Fjeld,F,SBD,23.5,62.3,63,100.0,77.5,130.0,307.5,2016-12-17
Ruben Hoffman Gjelsnes,M,SBD,44.5,98.99,105,230.0,140.0,250.0,620.0,2018-09-01
Raymond Andersen,M,SBD,50.5,117.2,120,225.0,185.0,220.0,630.0,2018-09-01
Selma Karoline Matilde Ramberg,F,SBD,15.5,51.35,52,80.0,55.0,82.5,217.5,2017-03-12
Katrine Nystad Kvitvær,F,SBD,22.5,56.67,57,100.0,60.0,120.0,280.0,2017-03-12
Hege Berntsen,F,SBD,48.5,73.6,84,110.0,47.5,140.0,297.5,2017-08-26
Vebjørn Brastad,M,SBD,46.5,89.5,93,155.0,112.5,185.0,452.5,2017-08-26
Isabel Carina Nakken Cloin,F,SBD,28.5,82.8,84,150.0,80.0,170.0,400.0,2017-01-23
Germe Wimpaye,M,SBD,20.5,80.8,83,190.0,120.0,235.0,545.0,2017-04-03
Linda Kristensen,F,SBD,34.5,70.85,72,120.0,90.0,135.0,345.0,2012-04-11
Silvia Kapstad,F,SBD,17.5,69.6,72,121.0,80.0,162.5,363.5,2014-09-06
Hilde Mikkelsen Haugen,F,SBD,22.5,55.3,57,115.0,47.5,107.5,270.0,2014-09-06
Ruth Sandbak Berge,F,SBD,18.5,60.2,63,100.0,47.5,125.0,272.5,2014-09-06
Inger-Lene Sunnarvik,F,SBD,21.5,69.7,72,135.0,92.5,155.0,382.5,2014-09-06
Tutta Kristine Hanssen,F,SBD,24.5,61.8,63,137.5,90.0,157.5,385.0,2014-09-06
Sunniva Nordskog,F,SBD,27.5,60.9,63,107.5,75.0,150.0,332.5,2014-09-06
Monica S. Rasmussen,F,SBD,41.5,56.15,57,100.0,60.0,140.0,300.0,2014-09-06
Lars S. Kirkebøen,M,SBD,31.5,157.7,120+,307.5,170.0,340.0,817.5,2014-09-06
Bjarne Havnen,M,SBD,45.5,123.0,120+,190.0,160.0,200.0,550.0,2014-09-06
Sigve Valentinsen,M,SBD,53.5,86.45,93,215.0,158.0,242.5,615.5,2014-09-06
Malin Narum Kvamsdal,F,SBD,27.5,46.37,47,110.0,72.5,141.5,324.0,2022-03-25
Sakar Hamawandi,F,SBD,31.5,46.99,47,97.5,79.0,141.0,317.5,2022-03-25
Karen Hesthammer,F,SBD,27.5,51.64,52,138.0,85.0,159.0,382.0,2022-03-25
Julie Fosseide,F,SBD,29.5,51.87,52,132.5,82.5,158.5,373.5,2022-03-25
Katrine Sundal Haune,F,SBD,26.5,56.49,57,142.5,92.5,160.0,395.0,2022-03-25
Gina Bakke Bolstad,F,SBD,30.5,62.46,63,162.5,92.5,165.0,420.0,2022-03-25
Sunniva Nordskog,F,SBD,35.5,62.39,63,137.5,102.5,165.0,405.0,2022-03-25
Frida Aung,F,SBD,24.5,61.19,63,142.5,90.0,162.5,395.0,2022-03-25
Anna Nafisa Hjelle Skjenken,F,SBD,23.5,61.79,63,135.0,92.5,162.5,390.0,2022-03-25
Frida Austigard Petersen,F,SBD,24.5,63.0,63,142.5,80.0,162.5,385.0,2022-03-25
Elise Rosenborg,F,SBD,28.5,61.78,63,120.0,110.0,150.0,380.0,2022-03-25
Marte Kjenner,F,SBD,32.5,68.86,69,195.0,122.5,225.0,542.5,2022-03-25
Signe Elisabeth Belden,F,SBD,38.5,68.16,69,165.0,110.0,185.0,460.0,2022-03-25
Jorill Nese,F,SBD,23.5,67.94,69,170.0,102.5,180.0,452.5,2022-03-25
